Name,Year,Month,PR #,Review #,Average Cycle Time (hours)
isaacmedina051,2024,4,16,2,54
ReedVivid,2024,4,20,33,18
rti-filipefalcaos,2024,4,4,9,166
Ankur-Magan,2024,4,4,0,68
aaronvividseats,2024,4,7,14,242
vs-a3zhen,2024,4,9,0,50
DWang1027,2024,4,3,1,146
tomburns,2024,4,0,3,
dexterteng3,2024,5,1,0,44
semyonkhl,2024,5,0,0,
xxxsemyonxxx,2024,5,0,1,
alvarocarral,2024,5,0,0,
kyleroach5,2024,5,0,0,
lsavage92,2024,5,0,1,
sglavin,2024,5,1,0,1
alex-tea,2024,5,0,0,
jackvividseats,2024,5,1,0,45
matt-donnelly,2024,5,0,0,
vividstephen,2024,5,0,0,
dsvs12,2024,5,1,0,19
josmi416,2024,5,0,1,
vividReyder,2024,5,0,0,
mike-mct,2024,5,0,1,
pritipatelvs,2024,5,0,0,
abhiardeshana09,2024,5,0,0,
RobHameetman,2024,5,0,0,
taiweituan,2024,5,0,0,
tylerisvivid,2024,5,0,1,
bhajiakbar,2024,5,0,0,
adivincenzo-vs,2024,5,0,0,
pterenin,2024,5,0,0,
dane-thomas-vs,2024,5,0,1,
MoeKanan,2024,5,0,0,
hussam23,2024,5,0,3,
taylordotsikas,2024,5,1,2,192
HetalDawda,2024,5,2,0,307
vs-spark,2024,5,0,0,
isaacmedina051,2024,5,1,0,187
ReedVivid,2024,5,0,2,
rti-filipefalcaos,2024,5,0,0,
Ankur-Magan,2024,5,1,0,665
aaronvividseats,2024,5,0,0,
vs-a3zhen,2024,5,0,0,
DWang1027,2024,5,0,0,
tomburns,2024,5,0,0,
